#Model files used:	unknown
#Model used:	TIEGCM
#Coordinates:	GDZ	sph
#utc_time	c1	c2	c3
#[s]	[R_E]	[R_E]	[R_E]
1679461173.257000	-147.375336	-5.204501	107.000000
1679461234.117000	-146.641708	-1.590214	107.000008
1679461304.285000	-145.801651	2.032004	107.000000
1679461347.697000	-145.129501	4.631999	107.000000
1679461417.798000	-144.098099	8.203112	107.000000
1679461463.998000	-143.226852	10.908447	106.999992
1679461534.443000	-141.968384	14.411252	107.000000
1679461577.428000	-140.974792	16.876522	107.000000
1679461647.921000	-139.439667	20.291050	107.000000
1679461734.888000	-137.040405	24.871237	107.000000
1679461805.686000	-135.023819	28.115767	107.000000
1679461849.181000	-133.436646	30.378056	107.000000
1679461918.085000	-131.073151	33.355888	107.000000
1679461965.319000	-128.998154	35.637974	107.000000
1679462034.524000	-126.086121	38.388412	107.000000
1679462078.517000	-123.731384	40.332474	107.000000
1679462147.834000	-120.209885	42.784996	107.000000
1679462209.307000	-116.287277	45.046967	107.000000
1679462278.870000	-111.964844	47.050385	107.000000
1679462322.516000	-108.554565	48.333878	107.000000
1679462392.092000	-103.544708	49.817863	107.000000
1679462438.647000	-99.419312	50.729004	107.000000
1679462508.451000	-93.820862	51.572529	107.000000
1679462551.885000	-89.637878	51.950150	107.000000
1679462621.582000	-83.785980	52.095047	107.000008
1679462682.743000	-77.973114	51.828815	107.000000
1679462752.562000	-72.274750	51.156368	107.000008
1679462796.082000	-68.289764	50.432259	107.000000
1679462865.709000	-63.096497	49.114140	107.000000
1679462912.395000	-59.326874	47.852524	107.000000
1679462982.008000	-54.812408	45.977661	107.000000
1679463025.948000	-51.758881	44.430882	107.000000
1679463095.123000	-47.985992	42.117657	107.000000
1679463155.883000	-44.574036	39.620293	107.000000
1679463227.064000	-41.441711	36.845814	107.000000
1679463269.602000	-39.443512	34.829651	107.000000
1679463340.294000	-36.874481	31.820889	106.999992
1679463385.879000	-35.127502	29.498978	107.000000
1679463456.657000	-33.023163	26.290825	107.000000
1679463499.627000	-31.659790	23.973919	107.000000
1679463569.937000	-29.937622	20.640860	107.000000
1679463657.275000	-27.837921	15.915983	107.000000
1679463727.646000	-26.523438	12.436777	107.000000
1679463771.056000	-25.653748	9.901243	107.000000
1679463841.198000	-24.572632	6.342783	107.000000
1679463887.338000	-23.815308	3.607696	107.000000
1679463957.781000	-22.925140	-0.028811	107.000000
1679464001.204000	-22.346680	-2.655507	107.000000
1679464071.406000	-21.627228	-6.331612	107.000000
1679464131.904000	-21.008972	-9.956029	107.000000
1679464202.818000	-20.460022	-13.710135	107.000000
1679464245.584000	-20.116028	-16.361687	107.000000
1679464316.525000	-19.702881	-20.150574	107.000000
1679464362.510000	-19.451599	-23.007412	107.000000
1679464432.253000	-19.183533	-26.745749	107.000000
1679464475.921000	-19.039642	-29.482044	107.000000
1679464545.852000	-18.930328	-33.252522	107.000000
1679464606.308000	-18.903320	-36.957607	107.000000
1679464677.317000	-18.974609	-40.797050	107.000000
1679464720.607000	-19.089050	-43.520798	107.000000
1679464789.895000	-19.392761	-47.264809	107.000000
